ident,actual_ident,departuretime,arrivaltime,origin,destination,aircrafttype,meal_service,seats_cabin_first,seats_cabin_business,seats_cabin_coach,flight_id
SWA52,,1487627400,1487636700,KMCO,KHOU,B737,,0,0,143,SWA52-1487399280-airline-0186
SWA432,,1487621100,1487628300,KMCI,KHOU,B737,,0,0,143,SWA432-1487399282-airline-0385
SWA10,,1487590500,1487598000,KMCI,KHOU,B737,,0,0,143,SWA10-1487399280-airline-0236
SIA1483,JBU581,1487619120,1487634540,KJFK,KHOU,E190,,0,0,100,JBU581-1487399170-airline-0052
QTR4288,JBU581,1487619120,1487634540,KJFK,KHOU,E190,,0,0,100,JBU581-1487399170-airline-0052
SWA4239,,1487603400,1487606400,KSAT,KHOU,B733,,0,0,137,SWA4239-1487399282-airline-0485
SWA1524,,1487595300,1487598600,KSAT,KHOU,B733,,0,0,143,SWA1524-1487399281-airline-0041
SWA3955,,1487602800,1487619600,KBOS,KHOU,B737,,0,0,143,SWA3955-1487399282-airline-0667
UAE6189,JBU581,1487619120,1487634540,KJFK,KHOU,E190,,0,0,100,JBU581-1487399170-airline-0052
ELY8647,JBU581,1487619120,1487634540,KJFK,KHOU,E190,,0,0,100,JBU581-1487399170-airline-0052
ETD8290,JBU581,1487619120,1487634540,KJFK,KHOU,E190,,0,0,100,JBU581-1487399170-airline-0052
JBU581,,1487619120,1487634540,KJFK,KHOU,E190,,0,0,100,JBU581-1487399170-airline-0052
SWA853,,1487603100,1487613600,KLAS,KHOU,B733,,0,0,143,SWA853-1487399283-airline-0281
SWA1718,,1487620500,1487631000,KLAS,KHOU,B738,,0,0,175,SWA1718-1487399281-airline-0447
SWA4902,,1487627700,1487638200,KLAS,KHOU,B738,,0,0,175,SWA4902-1487399282-airline-0120
SWA6255,,1487600100,1487610600,KLAS,KHOU,B737,,0,0,143,SWA6255-1487399283-airline-0339
